kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 373 : 65792 404032 0 0 0 0 0 0 0 
_1.ptx 374 : 65792 470816 0 0 0 0 0 0 0 
_1.ptx 375 : 65792 1058496 0 0 0 0 0 0 0 
_1.ptx 376 : 65792 482592 0 0 0 0 0 0 0 
_1.ptx 378 : 65792 549408 0 0 0 0 0 0 0 
_1.ptx 379 : 65792 543424 0 0 0 0 0 0 0 
_1.ptx 380 : 65792 543712 0 0 0 0 0 0 0 
_1.ptx 381 : 65792 541024 0 0 0 0 0 0 0 
_1.ptx 382 : 65792 872064 0 4112 2056 0 0 0 0 
_1.ptx 384 : 65792 408416 0 0 0 0 0 0 0 
_1.ptx 386 : 65792 1042592 0 4112 2056 0 0 0 0 
_1.ptx 387 : 65792 481792 0 0 0 0 0 0 0 
_1.ptx 388 : 65792 715616 0 0 0 0 0 0 0 
_1.ptx 389 : 65792 736512 0 0 0 0 0 0 0 
_1.ptx 390 : 65792 1794208 0 14701 2056 0 0 0 0 
_1.ptx 392 : 65792 1383968 0 4112 2056 0 0 0 0 
_1.ptx 393 : 65792 476736 0 0 0 0 0 0 0 
_1.ptx 394 : 65792 723968 0 0 0 0 0 0 0 
_1.ptx 395 : 65792 731680 0 0 0 0 0 0 0 
_1.ptx 396 : 65792 1845280 0 15584 2056 0 0 0 0 
_1.ptx 398 : 65792 1496608 0 4112 2056 0 0 0 0 
_1.ptx 399 : 65792 468480 0 0 0 0 0 0 0 
_1.ptx 400 : 65792 686656 0 0 0 0 0 0 0 
_1.ptx 401 : 65792 729504 0 0 0 0 0 0 0 
_1.ptx 402 : 65792 1759616 0 13924 2056 0 0 0 0 
_1.ptx 404 : 65792 1501312 0 4112 2056 0 0 0 0 
_1.ptx 405 : 65792 466688 0 0 0 0 0 0 0 
_1.ptx 406 : 65792 680256 0 0 0 0 0 0 0 
_1.ptx 407 : 65792 727840 0 0 0 0 0 0 0 
_1.ptx 408 : 65792 1967360 0 15044 2056 0 0 0 0 
_1.ptx 410 : 65792 667872 0 0 0 0 0 0 0 
_1.ptx 411 : 65792 475776 0 0 0 0 0 0 0 
_1.ptx 412 : 65792 410464 0 0 0 0 0 0 0 
_1.ptx 413 : 65792 475296 0 0 0 0 0 0 0 
_1.ptx 414 : 65792 406656 0 0 0 0 0 0 0 
_1.ptx 415 : 65792 474944 0 0 0 0 0 0 0 
_1.ptx 416 : 65792 405440 0 0 0 0 0 0 0 
_1.ptx 417 : 65792 473184 0 0 0 0 0 0 0 
_1.ptx 418 : 65792 1025984 0 0 0 0 0 0 0 
_1.ptx 419 : 65792 498080 0 0 0 0 0 0 0 
_1.ptx 421 : 65792 550048 0 0 0 0 0 0 0 
_1.ptx 422 : 65792 543520 0 0 0 0 0 0 0 
_1.ptx 423 : 65792 544064 0 0 0 0 0 0 0 
_1.ptx 424 : 65792 540576 0 0 0 0 0 0 0 
_1.ptx 425 : 65792 853472 0 4112 2056 0 0 0 0 
_1.ptx 427 : 65792 408384 0 0 0 0 0 0 0 
_1.ptx 429 : 65792 1020960 0 4112 2056 0 0 0 0 
_1.ptx 430 : 65792 483808 0 0 0 0 0 0 0 
_1.ptx 431 : 65792 713952 0 0 0 0 0 0 0 
_1.ptx 432 : 65792 736992 0 0 0 0 0 0 0 
_1.ptx 433 : 65792 1851168 0 15374 2056 0 0 0 0 
_1.ptx 435 : 65792 1440544 0 4112 2056 0 0 0 0 
_1.ptx 436 : 65792 477056 0 0 0 0 0 0 0 
_1.ptx 437 : 65792 699712 0 0 0 0 0 0 0 
_1.ptx 438 : 65792 733344 0 0 0 0 0 0 0 
_1.ptx 439 : 65792 1789184 0 14585 2056 0 0 0 0 
_1.ptx 441 : 65792 1499008 0 4112 2056 0 0 0 0 
_1.ptx 442 : 65792 469568 0 0 0 0 0 0 0 
_1.ptx 443 : 65792 685216 0 0 0 0 0 0 0 
_1.ptx 444 : 65792 729120 0 0 0 0 0 0 0 
_1.ptx 445 : 65792 1842016 0 15438 2056 0 0 0 0 
_1.ptx 447 : 65792 1588384 0 4112 2056 0 0 0 0 
_1.ptx 448 : 65792 466880 0 0 0 0 0 0 0 
_1.ptx 449 : 65792 681344 0 0 0 0 0 0 0 
_1.ptx 450 : 65792 728160 0 0 0 0 0 0 0 
_1.ptx 451 : 65792 1980384 0 14963 2056 0 0 0 0 
_1.ptx 453 : 65792 668864 0 0 0 0 0 0 0 
_1.ptx 454 : 65792 478080 0 0 0 0 0 0 0 
_1.ptx 455 : 65792 412032 0 0 0 0 0 0 0 
_1.ptx 456 : 65792 478528 0 0 0 0 0 0 0 
_1.ptx 457 : 65792 408384 0 0 0 0 0 0 0 
_1.ptx 458 : 65792 475744 0 0 0 0 0 0 0 
_1.ptx 459 : 65792 404640 0 0 0 0 0 0 0 
_1.ptx 460 : 65792 473536 0 0 0 0 0 0 0 
_1.ptx 461 : 65792 1044192 0 0 0 0 0 0 0 
_1.ptx 462 : 65792 483584 0 0 0 0 0 0 0 
_1.ptx 464 : 65792 547200 0 0 0 0 0 0 0 
_1.ptx 465 : 65792 552192 0 0 0 0 0 0 0 
_1.ptx 466 : 65792 545312 0 0 0 0 0 0 0 
_1.ptx 467 : 65792 541216 0 0 0 0 0 0 0 
_1.ptx 468 : 65792 845152 0 4112 2056 0 0 0 0 
_1.ptx 470 : 65792 408832 0 0 0 0 0 0 0 
_1.ptx 472 : 65792 1068512 0 4112 2056 0 0 0 0 
_1.ptx 473 : 65792 477344 0 0 0 0 0 0 0 
_1.ptx 474 : 65792 711296 0 0 0 0 0 0 0 
_1.ptx 475 : 65792 736960 0 0 0 0 0 0 0 
_1.ptx 476 : 65792 1855168 0 15224 2056 0 0 0 0 
_1.ptx 478 : 65792 1462496 0 4112 2056 0 0 0 0 
_1.ptx 479 : 65792 472896 0 0 0 0 0 0 0 
_1.ptx 480 : 65792 697856 0 0 0 0 0 0 0 
_1.ptx 481 : 65792 730528 0 0 0 0 0 0 0 
_1.ptx 482 : 65792 2236000 0 21138 2056 0 0 0 0 
_1.ptx 484 : 65792 1793120 0 4112 2056 0 0 0 0 
_1.ptx 485 : 65792 467008 0 0 0 0 0 0 0 
_1.ptx 486 : 65792 686880 0 0 0 0 0 0 0 
_1.ptx 487 : 65792 728128 0 0 0 0 0 0 0 
_1.ptx 488 : 65792 1826240 0 14349 2056 0 0 0 0 
_1.ptx 490 : 65792 1472160 0 4112 2056 0 0 0 0 
_1.ptx 491 : 65792 469056 0 0 0 0 0 0 0 
_1.ptx 492 : 65792 688608 0 0 0 0 0 0 0 
_1.ptx 493 : 65792 728576 0 0 0 0 0 0 0 
_1.ptx 494 : 65792 2002752 0 15255 2056 0 0 0 0 
_1.ptx 496 : 65792 667104 0 0 0 0 0 0 0 
_1.ptx 497 : 65792 478016 0 0 0 0 0 0 0 
_1.ptx 498 : 65792 411616 0 0 0 0 0 0 0 
_1.ptx 499 : 65792 477504 0 0 0 0 0 0 0 
_1.ptx 500 : 65792 407968 0 0 0 0 0 0 0 
_1.ptx 501 : 65792 474336 0 0 0 0 0 0 0 
_1.ptx 502 : 65792 404960 0 0 0 0 0 0 0 
_1.ptx 503 : 65792 470912 0 0 0 0 0 0 0 
_1.ptx 504 : 65792 1117472 0 0 0 0 0 0 0 
_1.ptx 505 : 65792 482592 0 0 0 0 0 0 0 
_1.ptx 507 : 65792 542880 0 0 0 0 0 0 0 
_1.ptx 508 : 65792 541056 0 0 0 0 0 0 0 
_1.ptx 509 : 65792 556896 0 0 0 0 0 0 0 
_1.ptx 510 : 65792 541056 0 0 0 0 0 0 0 
_1.ptx 511 : 65792 930272 0 4112 2056 0 0 0 0 
_1.ptx 513 : 65792 409408 0 0 0 0 0 0 0 
_1.ptx 515 : 65792 1101504 0 4112 2056 0 0 0 0 
_1.ptx 516 : 65792 480736 0 0 0 0 0 0 0 
_1.ptx 517 : 65792 726016 0 0 0 0 0 0 0 
_1.ptx 518 : 65792 738848 0 0 0 0 0 0 0 
_1.ptx 519 : 65792 1885888 0 15586 2056 0 0 0 0 
_1.ptx 521 : 65792 1473472 0 4112 2056 0 0 0 0 
_1.ptx 522 : 65792 474368 0 0 0 0 0 0 0 
_1.ptx 523 : 65792 705216 0 0 0 0 0 0 0 
